dzielnica,typ_szkoly,nazwa_szkoly,nazwa_oddzialu,rozszerzenia,jezyki,prog_min,ranking25,srednia22do24
Bemowo,LO,LXXVIII LO im. M. Pawlikowskiej-Jasnorzewskiej,1B [O] geogr-ang-mat (ang-niem*),ang-geogr-mat,ang-niem,142.30,,
Bemowo,LO,LXXVIII LO im. M. Pawlikowskiej-Jasnorzewskiej,1A [O] geogr-hist-ang (ang-hisz*),ang-geogr-hist,ang-hisz,127.05,,
Bemowo,LO,LXXVIII LO im. M. Pawlikowskiej-Jasnorzewskiej,1C [O] biol-chem-ang (ang-niem*),ang-biol-chem,ang-niem,110.15,,
Bemowo,LO,LXXVIII LO im. M. Pawlikowskiej-Jasnorzewskiej,1E [O] ang-niem-pol (ang-niem),ang-niem-pol,ang-niem,92.65,,
Bemowo,LO,LXXVIII LO im. M. Pawlikowskiej-Jasnorzewskiej,1D [O] ang-hiszp-pol (ang-hisz),ang-hiszp-pol,ang-hisz,118.25,,
Bemowo,LO,LXXVIII LO im. M. Pawlikowskiej-Jasnorzewskiej,1F [D] geogr-hist-ang (ang-hisz*),ang-geogr-hist,ang-hisz,99.46,,
Białołęka,LO,CLXV LO,"1a [O] hist-ang-pol (ang-niem,hisz)",ang-hist-pol,ang-hisz-niem,90.00,,
Białołęka,LO,CLXV LO,"1c [I-o] biol-geogr-ang (ang-hisz,niem)",ang-biol-geogr,ang-hisz-niem,104.75,,
Białołęka,LO,CLXV LO,"1b [O] inf-ang-mat (ang-hisz,niem)",ang-inf-mat,ang-hisz-niem,103.50,,
Białołęka,LO,CV LO im. Z. Herberta,"1B [O] biol-chem-ang (ang-niem*,fra)",ang-biol-chem,ang-fra-niem,145.40,73,80.67
Białołęka,LO,CV LO im. Z. Herberta,"1A [O] geogr-ang-mat (ang-niem*,fra)",ang-geogr-mat,ang-fra-niem,143.60,73,80.67
Białołęka,LO,CV LO im. Z. Herberta,"1C [O] geogr-ang-wos (ang-niem*,fra)",ang-geogr-wos,ang-fra-niem,141.50,73,80.67
Bielany,BS I st.,Branżowa Szkoła I stopnia Nr 18,1c [O] Sprzedawca (ang),Sprzedawca,ang,31.30,,
Bielany,BS I st.,Branżowa Szkoła I stopnia Nr 18,1a [O] Magazynier-logistyk (ang),Magazynier-logistyk,ang,35.75,,
Bielany,LO,CXXII LO im. I. Domeyki,1A/2 [O] fiz-ang-mat (ang-hisz),ang-fiz-mat,ang-hisz,179.50,16,18.0
Bielany,LO,CXXII LO im. I. Domeyki,1B [O] geogr-ang-mat (ang-niem*),ang-geogr-mat,ang-niem,173.00,16,18.0
Bielany,LO,CXXII LO im. I. Domeyki,1A/1 [O] fiz-ang-mat (ang-niem),ang-fiz-mat,ang-niem,176.55,16,18.0
Bielany,LO,CXXII LO im. I. Domeyki,1C [O] biol-chem-mat (ang-niem*),biol-chem-mat,ang-niem,172.40,16,18.0
Bielany,LO,LII LO im. W. S. Reymonta,"1a [O] biol-ang-pol (ang*-hisz*,niem*)",ang-biol-pol,ang-hisz-niem,129.40,,
Bielany,LO,LII LO im. W. S. Reymonta,"1b [O] geogr-ang-mat (ang*-hisz*,niem*)",ang-geogr-mat,ang-hisz-niem,133.65,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1A.piłka_ręczna [MS] biol-geogr-ang (ang-niem),ang-biol-geogr,ang-niem,50.00,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1A.rugby [MS] biol-geogr-ang (ang-niem),ang-biol-geogr,ang-niem,52.40,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1A.piłka_nożna [MS] biol-geogr-ang (ang-niem),ang-biol-geogr,ang-niem,61.00,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1B.ratownictwo_wod. [MS] biol-chem-ang (ang-niem),ang-biol-chem,ang-niem,57.00,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1B.pływanie [MS] biol-chem-ang (ang-niem),ang-biol-chem,ang-niem,310.00,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1D.judo [MS] biz-geogr-ang (ang-niem),ang-biz-geogr,ang-niem,70.00,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1D.taekwondo_olimp. [MS] biz-geogr-ang (ang-niem),ang-biz-geogr,ang-niem,63.00,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1D.boks [MS] biz-geogr-ang (ang-niem),ang-biz-geogr,ang-niem,531.00,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1D.szermierka [MS] biz-geogr-ang (ang-niem),ang-biz-geogr,ang-niem,40.08,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1D.zapasy [MS] biz-geogr-ang (ang-niem),ang-biz-geogr,ang-niem,52.50,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1C.lekkoatletyka [MS] biz-geogr-ang (ang-hisz),ang-biz-geogr,ang-hisz,360.00,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1C.piłka_nożna [MS] biz-geogr-ang (ang-hisz),ang-biz-geogr,ang-hisz,60.00,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1E.piłka_siatkowaM [MS] biz-ang-wos (ang-niem),ang-biz-wos,ang-niem,68.00,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1E.piłka_siatkowaŻ [MS] biz-ang-wos (ang-niem),ang-biz-wos,ang-niem,56.00,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1F.koszykówka_męska [MS] biol-chem-ang (ang-hisz),ang-biol-chem,ang-hisz,40.00,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1D.strzelectwo_spor [MS] biz-geogr-ang (ang-niem),ang-biz-geogr,ang-niem,66.00,,
Bielany,LO,LIX LO Mistrzostwa Sportowego im. J. Kusocińskiego,1F.lekkoatletyka [MS] biol-chem-ang (ang-hisz),ang-biol-chem,ang-hisz,363.00,,
Bielany,LO,LX LO im. W. Górskiego,"1LA [O] hist-wos (ang-hisz,niem)",hist-wos,ang-hisz-niem,106.75,,
Bielany,LO,LX LO im. W. Górskiego,"1LB [O] geogr-ang (ang-hisz,niem)",ang-geogr,ang-hisz-niem,117.95,,
Bielany,T,Technikum Ekonomiczne nr 5,1E [O] Technik ekonomista (ang-niem),Technik ekonomista,ang-niem,81.55,,
Bielany,T,Technikum Ekonomiczne nr 5,1H [O] Technik handlowiec (ang-niem),Technik handlowiec,ang-niem,78.35,,
Bielany,T,Technikum Ekonomiczne nr 5,1L [O] Technik logistyk (ang-niem),Technik logistyk,ang-niem,91.60,,
Bielany,T,Technikum Ekonomiczne nr 5,1T [O] Technik hotelarstwa (ang-niem),Technik hotelarstwa,ang-niem,76.75,,
Bielany,T,Technikum Księgarskie im. S. Żeromskiego,"1tg [O] Technik grafiki i poligrafii cyfrowej (ang*-hisz*,niem*)",Technik grafiki i poligrafii cyfrowej,ang-hisz-niem,18.45,,
Bielany,T,Technikum Księgarskie im. S. Żeromskiego,"1tk [O] Technik księgarstwa (ang*-hisz*,niem*)",Technik księgarstwa,ang-hisz-niem,46.00,,
Bielany,T,Technikum Księgarskie im. S. Żeromskiego,"1tr [O] Technik reklamy (ang*-hisz*,niem*)",Technik reklamy,ang-hisz-niem,34.60,,
Bielany,T,Technikum nr 25 im. Stanisława Staszica,1ap [O] Technik programista (ang-niem),Technik programista,ang-niem,128.75,,
Bielany,T,Technikum nr 25 im. S. Staszica,1at [O] Technik organizacji turystyki (ang-niem),Technik organizacji turystyki,ang-niem,76.10,,
Bielany,T,Technikum nr 25 im. S. Staszica,1ai [O] Technik informatyk (ang-niem),Technik informatyk,ang-niem,104.00,,
Bielany,T,Technikum nr 25 im. S. Staszica,1as [O] Technik spedytor (ang-niem),Technik spedytor,ang-niem,68.80,,
Bielany,LO,XCIV LO im. gen. S. Maczka,1E [O] ang-hiszp-pol (ang-hisz),ang-hiszp-pol,ang-hisz,142.55,46,50.33
Bielany,LO,XCIV LO im. gen. S. Maczka,1Bw [O] hist-pol-wos (ang-wlo),hist-pol-wos,ang-wlo,136.70,46,50.33
Bielany,LO,XCIV LO im. gen. S. Maczka,1Bh [O] hist-pol-wos (ang-hisz),hist-pol-wos,ang-hisz,149.40,46,50.33
Bielany,LO,XCIV LO im. gen. S. Maczka,1An [O] fiz-mat (ang-niem),fiz-mat,ang-niem,155.95,46,50.33
Bielany,LO,XCIV LO im. gen. S. Maczka,1Ch [O] biol-chem (ang-hisz),biol-chem,ang-hisz,152.40,46,50.33
Bielany,LO,XCIV LO im. gen. S. Maczka,1Cw [O] biol-chem (ang-wlo),biol-chem,ang-wlo,144.95,46,50.33
Bielany,LO,XCIV LO im. gen. S. Maczka,1Dn [O] geogr-mat (ang-niem),geogr-mat,ang-niem,155.40,46,50.33
Bielany,LO,XCIV LO im. gen. S. Maczka,1Ah [O] fiz-mat (ang-hisz),fiz-mat,ang-hisz,159.85,46,50.33
Bielany,LO,XCIV LO im. gen. S. Maczka,1Dh [O] geogr-mat (ang-hisz),geogr-mat,ang-hisz,161.45,46,50.33
Bielany,LO,XLI LO im. J. Lelewela,1C [O] biol-chem-mat (ang-hisz*),biol-chem-mat,ang-hisz,168.25,24,20.67
Bielany,LO,XLI LO im. J. Lelewela,1P [O] hist-pol-wos (ang-fra*),hist-pol-wos,ang-fra,155.70,24,20.67
